"userid","age","gender","subscriptionplan","registrationdate","lastvisitdate","averagevisitfrequency","averagesessionduration","favoriteactivity","monthlyusage","monthsactive","churn"
"user_4745",57,"Female","Pro","2022-05-21","2023-10-15 14:36:00","2.00","121.60","Pilates","2.0000000000000000","29",1
"user_3186",25,"Female","Basic","2021-08-07","2023-10-15 19:59:00","3.67","97.55","Yoga","3.6666666666666667","39",1
"user_958",37,"Male","Basic","2021-09-15","2023-09-11 20:11:00","13.00","126.54","Weightlifting","13.0000000000000000","37",1
"user_395",32,"Male","Pro","2023-07-11","2023-09-13 08:48:00","3.75","108.67","Weightlifting","3.7500000000000000","16",1
"user_4807",25,"Female","Pro","2022-09-26","2023-09-02 11:18:00","6.00","138.17","Weightlifting","6.0000000000000000","25",1
"user_4819",30,"Non-binary","Student","2022-01-21","2023-10-04 20:24:00","1.00","113.22","Weightlifting","1.00000000000000000000","33",1
"user_3417",50,"Male","Pro","2023-02-27","2023-10-13 19:38:00","1.75","118.21","Cardio","1.7500000000000000","20",1
"user_803",59,"Male","Student","2021-06-15","2023-10-15 16:28:00","2.00","92.63","Yoga","2.0000000000000000","40",1
"user_2102",43,"Male","Student","2021-11-25","2023-10-13 19:13:00","0.64","72.71","Weightlifting","0.63636363636363636364","35",1
"user_2189",29,"Female","Pro","2022-07-10","2023-10-05 18:43:00","3.50","120.07","CrossFit","3.5000000000000000","28",1
"user_4563",56,"Male","Pro","2021-03-23","2023-08-21 14:01:00","2.14","117.80","Pilates","2.1428571428571429","43",1
"user_3324",61,"Male","Basic","2022-07-15","2023-10-14 10:56:00","3.67","135.00","CrossFit","3.6666666666666667","27",1
"user_41",26,"Male","Student","2021-05-15","2023-09-18 19:23:00","2.20","81.18","Swimming","2.2000000000000000","41",1
"user_242",20,"Male","Student","2023-10-02","2023-08-15 13:03:00","9.00","127.11","Yoga","9.0000000000000000","13",1
"user_4188",21,"Female","Student","2021-12-26","2023-10-01 20:08:00","1.10","95.73","CrossFit","1.1000000000000000","34",1
"user_579",52,"Female","Pro","2023-05-06","2023-09-25 09:19:00","1.17","106.29","Swimming","1.1666666666666667","18",1
"user_3117",44,"Female","Pro","2023-08-24","2023-10-15 12:10:00","5.50","99.91","Weightlifting","5.5000000000000000","14",1
"user_1166",63,"Female","Basic","2021-09-26","2023-09-09 10:42:00","9.00","127.78","CrossFit","9.0000000000000000","37",1
"user_3226",31,"Male","Basic","2021-01-04","2023-08-06 10:27:00","0.60","82.00","Cardio","0.60000000000000000000","46",1
"user_300",50,"Female","Pro","2022-06-22","2023-10-11 11:49:00","3.00","95.92","Cardio","3.0000000000000000","28",1
"user_2706",61,"Male","Student","2022-02-24","2023-09-29 17:03:00","1.38","98.55","Yoga","1.3750000000000000","32",1
"user_4765",43,"Male","Pro","2022-06-14","2023-10-11 18:11:00","2.80","108.50","Yoga","2.8000000000000000","29",1
"user_4201",34,"Female","Pro","2022-03-17","2023-09-29 17:25:00","2.43","101.71","Yoga","2.4285714285714286","31",1
"user_2236",21,"Female","Basic","2021-02-16","2023-10-04 21:10:00","1.25","120.50","Swimming","1.2500000000000000","44",1
"user_263",33,"Female","Basic","2023-08-27","2023-09-30 20:27:00","5.00","104.00","Swimming","5.0000000000000000","14",1
"user_3387",57,"Male","Basic","2023-04-12","2023-10-12 11:28:00","1.71","137.83","Cardio","1.7142857142857143","19",1
"user_3859",64,"Non-binary","Student","2022-03-17","2023-10-01 16:57:00","1.71","92.42","Weightlifting","1.7142857142857143","31",1
"user_2831",46,"Male","Student","2023-10-07","2023-09-27 09:06:00","8.00","89.25","Swimming","8.0000000000000000","13",1
"user_2378",48,"Non-binary","Basic","2022-03-07","2023-09-17 13:50:00","1.38","88.45","Cardio","1.3750000000000000","32",1
"user_4723",53,"Male","Basic","2023-09-13","2023-10-07 14:59:00","4.00","70.63","Weightlifting","4.0000000000000000","14",1
"user_542",52,"Female","Pro","2022-08-21","2023-09-12 14:13:00","8.00","111.56","Pilates","8.0000000000000000","26",1
"user_1452",29,"Female","Student","2021-08-05","2023-10-01 17:25:00","2.67","78.13","Pilates","2.6666666666666667","39",1
"user_4619",51,"Female","Basic","2022-01-03","2023-08-29 17:37:00","0.80","101.50","Pilates","0.80000000000000000000","34",1
"user_902",34,"Male","Student","2023-03-12","2023-09-28 17:31:00","1.50","118.92","Weightlifting","1.5000000000000000","20",1
"user_3126",43,"Female","Pro","2022-04-30","2023-09-24 14:56:00","1.67","108.80","Cardio","1.6666666666666667","30",1
"user_1522",52,"Male","Student","2022-06-06","2023-10-02 18:12:00","2.60","93.08","Weightlifting","2.6000000000000000","29",1
"user_4124",53,"Female","Student","2021-02-28","2023-09-10 17:00:00","0.75","75.17","Weightlifting","0.75000000000000000000","44",1
"user_4960",50,"Male","Student","2021-05-22","2023-09-06 19:17:00","2.00","86.90","Pilates","2.0000000000000000","41",1
"user_4702",40,"Female","Pro","2021-06-06","2023-09-07 08:40:00","2.00","115.60","CrossFit","2.0000000000000000","41",1
"user_4799",20,"Female","Basic","2022-12-26","2023-09-28 19:14:00","0.90","108.33","Weightlifting","0.90000000000000000000","22",1
"user_2061",50,"Male","Student","2023-08-19","2023-05-18 20:55:00","4.00","92.25","Pilates","4.0000000000000000","14",1
"user_2241",24,"Female","Basic","2023-08-04","2023-08-04 13:32:00","3.33","99.80","Cardio","3.3333333333333333","15",1
"user_4689",33,"Male","Basic","2022-04-04","2023-09-25 13:57:00","1.57","105.73","Cardio","1.5714285714285714","31",1
"user_4011",57,"Female","Student","2021-09-19","2023-08-27 21:07:00","6.00","132.67","Cardio","6.0000000000000000","37",1
"user_2916",61,"Male","Basic","2022-02-15","2023-10-15 18:32:00","1.00","113.25","Weightlifting","1.00000000000000000000","32",1
"user_3487",45,"Male","Pro","2023-08-20","2023-10-09 17:35:00","4.00","88.38","Weightlifting","4.0000000000000000","14",1
"user_2556",24,"Male","Pro","2022-08-21","2023-07-07 13:00:00","3.50","99.29","Yoga","3.5000000000000000","26",1
"user_1823",19,"Female","Basic","2022-05-19","2023-10-14 18:06:00","1.60","101.38","CrossFit","1.6000000000000000","29",1
"user_1137",35,"Male","Basic","2022-04-25","2023-10-03 14:59:00","1.83","112.27","Yoga","1.8333333333333333","30",1
"user_1645",30,"Non-binary","Student","2022-03-07","2023-09-09 19:19:00","0.63","73.80","Swimming","0.62500000000000000000","32",1
"user_4619",51,"Female","Basic","2022-01-03","2023-09-14 12:50:00","1.10","100.64","CrossFit","1.1000000000000000","34",1
"user_2916",61,"Male","Basic","2022-02-15","2023-09-02 20:34:00","0.88","119.71","Pilates","0.87500000000000000000","32",1
"user_4408",22,"Female","Pro","2022-05-28","2023-09-10 20:14:00","2.80","108.43","CrossFit","2.8000000000000000","29",1
"user_4980",38,"Male","Student","2022-01-06","2023-08-31 19:38:00","0.50","119.80","Swimming","0.50000000000000000000","34",1
"user_1246",36,"Female","Pro","2022-09-23","2023-10-14 15:07:00","17.00","114.65","Swimming","17.0000000000000000","25",1
"user_2184",23,"Male","Pro","2021-02-22","2023-10-09 22:27:00","1.63","105.15","Yoga","1.6250000000000000","44",1
"user_4859",24,"Male","Basic","2021-03-19","2023-09-11 17:23:00","1.14","86.13","Pilates","1.1428571428571429","43",1
"user_735",58,"Female","Student","2021-02-27","2023-10-02 10:02:00","1.25","104.10","Cardio","1.2500000000000000","44",1
"user_3432",46,"Non-binary","Student","2023-03-17","2023-09-18 20:41:00","1.57","108.73","Yoga","1.5714285714285714","19",1
"user_2089",55,"Male","Basic","2022-12-21","2023-10-08 20:29:00","0.50","96.40","Pilates","0.50000000000000000000","22",1
"user_4037",64,"Female","Pro","2022-05-09","2023-09-20 21:30:00","1.50","98.22","Pilates","1.5000000000000000","30",1
"user_1100",53,"Male","Student","2021-08-05","2023-08-21 10:09:00","3.33","141.40","Swimming","3.3333333333333333","39",1
"user_3356",55,"Female","Basic","2021-03-19","2023-09-17 12:57:00","2.29","102.75","CrossFit","2.2857142857142857","43",1
"user_1217",47,"Female","Basic","2023-04-13","2023-09-30 13:12:00","1.71","116.33","Weightlifting","1.7142857142857143","19",1
"user_556",52,"Non-binary","Pro","2022-02-28","2023-10-04 08:59:00","1.25","113.70","Yoga","1.2500000000000000","32",1
"user_3002",51,"Non-binary","Basic","2021-01-30","2023-10-01 19:57:00","1.22","106.09","Cardio","1.2222222222222222","45",1
"user_4703",62,"Non-binary","Student","2023-04-11","2023-10-14 07:38:00","2.14","105.87","Pilates","2.1428571428571429","19",1
"user_3326",41,"Male","Student","2023-04-29","2023-08-23 12:12:00","2.17","97.23","Swimming","2.1666666666666667","18",1
"user_50",37,"Male","Pro","2022-03-16","2023-09-23 16:31:00","2.00","106.57","Yoga","2.0000000000000000","31",1
"user_3067",25,"Male","Student","2023-07-31","2023-09-24 18:11:00","3.33","122.50","Weightlifting","3.3333333333333333","15",1
"user_1957",49,"Male","Basic","2021-12-11","2023-07-26 12:08:00","0.73","72.00","Cardio","0.72727272727272727273","35",1
"user_3017",64,"Non-binary","Basic","2021-09-26","2023-10-07 10:19:00","8.00","95.63","Pilates","8.0000000000000000","37",1
"user_2730",39,"Female","Pro","2022-04-28","2023-09-15 18:12:00","1.83","101.45","Swimming","1.8333333333333333","30",1
"user_962",32,"Female","Pro","2021-09-27","2023-09-27 07:43:00","10.00","96.90","Swimming","10.0000000000000000","37",1
"user_1903",37,"Male","Basic","2023-04-13","2023-10-01 08:03:00","1.71","112.42","Swimming","1.7142857142857143","19",1
"user_2746",40,"Female","Pro","2022-10-09","2023-10-14 15:27:00","11.00","103.27","Cardio","11.0000000000000000","25",1
"user_241",43,"Male","Student","2023-05-11","2023-09-16 10:18:00","1.50","113.56","Weightlifting","1.5000000000000000","18",1
"user_1544",35,"Female","Basic","2022-12-19","2023-10-04 14:24:00","1.10","99.27","Cardio","1.1000000000000000","22",1
"user_669",37,"Male","Pro","2022-02-09","2023-10-11 17:09:00","0.89","99.38","Weightlifting","0.88888888888888888889","33",1
"user_2353",25,"Female","Basic","2022-11-10","2023-10-07 11:25:00",NULL,"108.78","Pilates",NULL,"24",1
"user_3960",45,"Male","Student","2021-06-03","2023-09-23 11:11:00","1.80","111.67","Yoga","1.8000000000000000","41",1
"user_351",40,"Male","Student","2023-07-07","2023-09-24 19:12:00","1.75","139.29","Cardio","1.7500000000000000","16",1
"user_1550",26,"Male","Basic","2022-08-02","2023-10-04 17:53:00","3.33","85.60","Weightlifting","3.3333333333333333","27",1
"user_52",64,"Female","Basic","2022-06-11","2023-06-05 16:31:00","1.40","100.71","Weightlifting","1.4000000000000000","29",1
"user_2395",45,"Male","Pro","2023-09-27","2023-09-23 10:40:00","10.00","98.50","CrossFit","10.0000000000000000","13",1
"user_2900",38,"Male","Student","2022-11-22","2023-10-04 15:54:00","1.09","107.92","Swimming","1.0909090909090909","23",1
"user_1187",44,"Female","Pro","2023-01-01","2023-10-07 11:47:00","1.80","118.67","Weightlifting","1.8000000000000000","22",1
"user_225",41,"Male","Basic","2021-03-29","2023-10-08 21:00:00","2.14","91.80","Swimming","2.1428571428571429","43",1
"user_1033",54,"Non-binary","Student","2022-06-09","2023-08-31 20:39:00","1.40","138.00","CrossFit","1.4000000000000000","29",1
"user_4770",34,"Male","Pro","2022-10-11","2023-07-27 12:36:00","7.00","103.14","Yoga","7.0000000000000000","25",1
"user_3164",34,"Female","Basic","2021-02-07","2023-10-10 18:31:00","1.33","99.83","Weightlifting","1.3333333333333333","45",1
"user_585",33,"Female","Basic","2021-10-13","2023-10-01 12:04:00","8.00","131.50","Swimming","8.0000000000000000","37",1
"user_3715",19,"Non-binary","Basic","2022-03-26","2023-10-15 22:01:00","1.00","96.14","Swimming","1.00000000000000000000","31",1
"user_2465",19,"Female","Pro","2022-05-12","2023-09-09 16:23:00","1.83","94.82","Cardio","1.8333333333333333","30",1
"user_2075",40,"Male","Basic","2022-06-19","2023-10-13 18:36:00","2.25","98.67","Weightlifting","2.2500000000000000","28",1
"user_4139",27,"Female","Basic","2023-10-03","2023-06-25 21:34:00","9.00","123.78","CrossFit","9.0000000000000000","13",1
"user_985",31,"Male","Basic","2022-05-20","2023-09-09 20:09:00","2.40","105.58","Yoga","2.4000000000000000","29",1
"user_1569",37,"Female","Pro","2022-06-20","2023-08-30 16:17:00","2.50","99.20","CrossFit","2.5000000000000000","28",1
"user_4877",29,"Male","Basic","2021-02-13","2023-10-06 11:41:00","0.44","124.00","Swimming","0.44444444444444444444","45",1
"user_4040",28,"Male","Basic","2022-02-17","2023-10-02 12:56:00","1.38","102.45","Swimming","1.3750000000000000","32",1
"user_832",42,"Female","Basic","2023-02-25","2023-10-08 16:32:00","1.50","83.08","Weightlifting","1.5000000000000000","20",1
"user_1623",32,"Male","Pro","2021-08-02","2023-10-13 07:14:00","2.67","104.50","Pilates","2.6666666666666667","39",1
"user_2042",61,"Male","Basic","2021-01-16","2023-09-18 07:49:00","1.22","105.73","Weightlifting","1.2222222222222222","45",1
"user_1147",22,"Male","Student","2022-08-05","2023-10-12 14:41:00","4.00","118.17","Weightlifting","4.0000000000000000","27",1
"user_3640",41,"Male","Pro","2021-11-08","2023-10-03 09:44:00",NULL,"94.92","Weightlifting",NULL,"36",1
"user_4374",18,"Male","Basic","2021-09-20","2023-09-14 21:51:00","10.00","91.50","Swimming","10.0000000000000000","37",1
"user_1639",46,"Non-binary","Student","2022-09-28","2023-09-06 16:52:00","10.00","111.00","CrossFit","10.0000000000000000","25",1
"user_3017",64,"Non-binary","Basic","2021-09-26","2023-08-21 20:31:00","10.00","90.50","Yoga","10.0000000000000000","37",1
"user_717",27,"Male","Student","2021-07-05","2023-10-12 13:18:00","1.75","125.00","Yoga","1.7500000000000000","40",1
"user_1912",31,"Non-binary","Basic","2022-05-08","2023-09-24 14:14:00","1.67","102.20","CrossFit","1.6666666666666667","30",1
"user_3889",48,"Male","Student","2022-06-06","2023-09-19 15:04:00","1.00","85.40","Yoga","1.00000000000000000000","29",1
"user_4305",26,"Male","Basic","2021-09-19","2023-10-03 22:23:00","9.00","100.67","Yoga","9.0000000000000000","37",1
"user_3417",50,"Male","Pro","2023-02-27","2023-10-09 11:42:00","1.50","107.50","CrossFit","1.5000000000000000","20",1
"user_3497",41,"Male","Basic","2021-02-08","2023-10-11 14:09:00","1.00","116.78","Weightlifting","1.00000000000000000000","45",1
"user_1334",60,"Male","Basic","2021-05-30","2023-09-11 20:41:00","1.40","109.29","Weightlifting","1.4000000000000000","41",1
"user_1666",60,"Male","Basic","2023-07-02","2023-09-21 12:02:00","3.00","110.25","Yoga","3.0000000000000000","16",1
"user_3056",22,"Female","Basic","2021-03-07","2023-09-20 11:45:00","1.63","92.85","Cardio","1.6250000000000000","44",1
"user_71",51,"Male","Student","2022-04-23","2023-09-24 16:51:00","1.33","98.25","Pilates","1.3333333333333333","30",1
"user_3274",52,"Male","Pro","2021-01-14","2023-09-19 08:35:00","0.90","108.56","Weightlifting","0.90000000000000000000","46",1
"user_1896",25,"Female","Basic","2023-04-11","2023-09-15 16:30:00","1.29","84.89","Cardio","1.2857142857142857","19",1
"user_4405",50,"Male","Basic","2021-11-17","2023-10-13 10:17:00","0.45","125.80","CrossFit","0.45454545454545454545","35",1
"user_3936",53,"Male","Basic","2021-12-17","2023-06-12 07:22:00","1.10","99.73","Cardio","1.1000000000000000","34",1
"user_336",47,"Male","Student","2022-01-09","2023-09-19 17:05:00","1.10","98.55","Pilates","1.1000000000000000","34",1
"user_4052",37,"Male","Student","2021-06-16","2023-10-08 19:28:00","2.25","65.89","Swimming","2.2500000000000000","40",1
"user_3254",31,"Male","Student","2021-03-13","2023-09-11 09:33:00","1.25","106.80","Weightlifting","1.2500000000000000","44",1
"user_2838",41,"Male","Student","2022-10-14","2023-10-09 20:08:00","11.00","110.27","Weightlifting","11.0000000000000000","25",1
"user_2855",36,"Male","Pro","2023-07-18","2023-09-12 11:26:00","2.33","95.29","Yoga","2.3333333333333333","15",1
"user_4007",61,"Male","Pro","2022-09-26","2023-09-12 08:53:00","9.00","102.56","Cardio","9.0000000000000000","25",1
"user_2527",36,"Male","Student","2022-11-22","2023-10-07 17:37:00","1.18","97.31","Yoga","1.1818181818181818","23",1
"user_592",22,"Male","Student","2023-01-26","2023-08-24 18:05:00","1.44","85.00","CrossFit","1.4444444444444444","21",1
"user_531",62,"Female","Pro","2022-08-02","2023-10-03 09:48:00","4.00","84.50","CrossFit","4.0000000000000000","27",1
"user_3597",35,"Male","Student","2022-03-20","2023-09-22 15:27:00","1.29","112.78","Cardio","1.2857142857142857","31",1
"user_137",43,"Female","Basic","2022-03-25","2023-09-20 10:03:00","2.14","130.20","Pilates","2.1428571428571429","31",1
"user_3462",62,"Non-binary","Student","2022-01-20","2023-08-14 13:36:00","0.78","124.57","Pilates","0.77777777777777777778","33",1
"user_2379",64,"Female","Student","2021-04-25","2023-10-15 18:06:00","2.17","102.62","Yoga","2.1666666666666667","42",1
"user_3984",64,"Female","Student","2022-06-01","2023-09-07 13:14:00","2.20","102.27","Yoga","2.2000000000000000","29",1
"user_4926",49,"Male","Pro","2023-03-21","2023-07-10 22:47:00","0.71","73.00","Weightlifting","0.71428571428571428571","19",1
"user_2909",52,"Female","Student","2021-03-28","2023-09-26 15:19:00","1.43","113.50","Pilates","1.4285714285714286","43",1
"user_1539",20,"Non-binary","Basic","2023-08-25","2023-10-06 19:19:00","4.50","97.89","Swimming","4.5000000000000000","14",1
"user_1796",42,"Male","Student","2021-07-26","2023-08-31 10:23:00","5.33","117.50","Pilates","5.3333333333333333","39",1
"user_4739",64,"Male","Student","2022-02-26","2023-09-24 08:56:00","2.50","118.40","Swimming","2.5000000000000000","32",1
"user_264",43,"Male","Student","2021-06-30","2023-10-12 12:08:00","2.75","105.36","Weightlifting","2.7500000000000000","40",1
"user_4554",36,"Male","Basic","2022-08-13","2023-09-26 13:18:00","2.33","123.71","Yoga","2.3333333333333333","27",1
"user_4311",34,"Female","Basic","2023-08-11","2023-10-10 08:03:00","2.00","102.33","Pilates","2.0000000000000000","15",1
"user_546",56,"Non-binary","Basic","2021-08-02","2023-09-10 08:12:00","3.33","107.40","Weightlifting","3.3333333333333333","39",1
"user_2120",43,"Male","Student","2021-08-27","2023-09-08 18:07:00","6.00","111.58","CrossFit","6.0000000000000000","38",1
"user_529",24,"Male","Pro","2022-04-10","2023-10-01 11:34:00","1.14","75.13","Swimming","1.1428571428571429","31",1
"user_3977",33,"Female","Student","2023-01-03","2023-08-26 19:08:00","1.00","114.30","Swimming","1.00000000000000000000","22",1
"user_3623",34,"Non-binary","Basic","2021-06-04","2023-08-23 17:24:00","1.80","125.00","CrossFit","1.8000000000000000","41",1
"user_1036",52,"Male","Basic","2021-03-25","2023-10-13 22:19:00","1.14","94.25","CrossFit","1.1428571428571429","43",1
"user_353",20,"Male","Pro","2023-06-10","2023-10-06 17:21:00","2.60","116.62","Yoga","2.6000000000000000","17",1
"user_4794",36,"Female","Student","2021-09-22","2023-09-19 11:48:00","14.00","97.21","Pilates","14.0000000000000000","37",1
"user_3193",32,"Female","Basic","2023-02-09","2023-10-07 12:22:00","0.89","105.13","Swimming","0.88888888888888888889","21",1
"user_220",49,"Non-binary","Student","2023-07-09","2023-10-15 13:28:00","3.50","110.86","CrossFit","3.5000000000000000","16",1
"user_1710",46,"Non-binary","Student","2021-01-04","2023-10-15 16:08:00","1.00","103.00","Swimming","1.00000000000000000000","46",1
"user_4389",48,"Non-binary","Basic","2021-04-11","2023-07-21 08:35:00","1.86","110.31","Yoga","1.8571428571428571","43",1
"user_2855",36,"Male","Pro","2023-07-18","2023-10-07 19:29:00","4.33","106.62","Swimming","4.3333333333333333","15",1
"user_4145",60,"Male","Basic","2021-11-07","2023-09-24 16:13:00",NULL,"97.64","CrossFit",NULL,"36",1
"user_4584",36,"Male","Basic","2022-10-11","2023-09-27 09:45:00","7.00","118.29","Cardio","7.0000000000000000","25",1
"user_2113",18,"Female","Basic","2021-01-16","2023-08-09 22:18:00","1.44","104.54","Cardio","1.4444444444444444","45",1
"user_91",46,"Male","Student","2022-08-28","2023-10-06 17:37:00","5.00","91.30","Yoga","5.0000000000000000","26",1
"user_2257",62,"Female","Pro","2021-07-31","2023-10-01 11:03:00","2.67","83.13","Yoga","2.6666666666666667","39",1
"user_854",51,"Male","Student","2023-01-02","2023-08-31 12:06:00","1.00","104.50","CrossFit","1.00000000000000000000","22",1
"user_448",56,"Female","Student","2021-06-11","2023-08-15 11:50:00","1.00","112.00","Weightlifting","1.00000000000000000000","41",1
"user_1850",34,"Male","Pro","2022-11-30","2023-09-30 11:48:00","1.00","92.82","CrossFit","1.00000000000000000000","23",1
"user_493",45,"Female","Student","2022-06-15","2023-09-29 15:19:00","2.00","122.00","Weightlifting","2.0000000000000000","28",1
"user_1366",51,"Male","Student","2023-07-12","2023-10-03 07:43:00","3.00","99.42","Weightlifting","3.0000000000000000","16",1
"user_3449",46,"Female","Student","2023-09-16","2023-07-28 21:43:00","8.00","101.63","CrossFit","8.0000000000000000","13",1
"user_2556",24,"Male","Pro","2022-08-21","2023-09-15 20:18:00","6.00","92.67","Pilates","6.0000000000000000","26",1
"user_2078",37,"Male","Pro","2023-09-24","2023-10-02 12:02:00","14.00","108.57","Cardio","14.0000000000000000","13",1
"user_1032",58,"Female","Student","2021-12-17","2023-09-06 23:37:00","0.80","103.25","CrossFit","0.80000000000000000000","34",1
"user_557",58,"Male","Student","2022-09-05","2023-10-01 08:25:00","10.00","102.45","Cardio","10.0000000000000000","26",1
